noise_level,observation_percentage,problem_file,correct_prediction,correct_goal_idx,predicted_goal_idx,execution_time
0,10,depots_p006217_hyp=hyp-3_10.zip,True,3,3,0.6871128082275391
0,10,depots_p02_hyp-1_10_1.tar.bz2,False,0,3,0.12654447555541992
0,10,depots_p002083_hyp=hyp-8_10.zip,False,8,2,0.0848696231842041
0,10,depots_p002703_hyp=hyp-6_10.zip,True,6,6,0.08757567405700684
0,10,depots_p004635_hyp=hyp-5_10.zip,True,5,5,0.09072399139404297
0,10,depots_p005846_hyp=hyp-6_10.zip,False,6,7,0.090362548828125
0,10,depots_p005132_hyp=hyp-1_10.zip,False,1,4,0.08120870590209961
0,10,depots_p002001_hyp=hyp-0_10.zip,True,0,0,0.07921910285949707
0,10,depots_p002507_hyp=hyp-0_10.zip,False,0,4,0.08863282203674316
0,10,depots_p001102_hyp=hyp-1_10.zip,False,1,6,0.08892035484313965
0,10,depots_p001366_hyp=hyp-7_10.zip,True,7,7,0.07879805564880371
0,10,depots_p005433_hyp=hyp-7_10.zip,True,7,7,0.09095263481140137
0,10,depots_p004154_hyp=hyp-3_10.zip,True,3,3,0.08209228515625
0,10,depots_p006343_hyp=hyp-1_10.zip,False,1,8,0.0828695297241211
0,10,depots_p006992_hyp=hyp-6_10.zip,False,6,7,0.08217859268188477
0,10,depots_p006531_hyp=hyp-6_10.zip,False,6,7,0.08188104629516602
0,10,depots_p002306_hyp=hyp-2_10.zip,True,2,2,0.07834768295288086
0,10,depots_p000674_hyp=hyp-0_10.zip,False,0,4,0.09010696411132812
0,10,depots_p004142_hyp=hyp-4_10.zip,False,4,5,0.08183860778808594
0,10,depots_p001843_hyp=hyp-7_10.zip,False,7,5,0.08251118659973145
0,10,depots_p005567_hyp=hyp-6_10.zip,True,6,6,0.07677817344665527
0,10,depots_p002693_hyp=hyp-3_10.zip,False,3,0,0.0758514404296875
0,10,depots_p004507_hyp=hyp-5_10.zip,False,5,3,0.07644057273864746
0,10,depots_p002944_hyp=hyp-6_10.zip,False,6,0,0.08100152015686035
0,10,depots_p001809_hyp=hyp-6_10.zip,True,6,6,0.07963752746582031
0,10,depots_p004884_hyp=hyp-0_10.zip,False,0,4,0.09078240394592285
0,10,depots_p000130_hyp=hyp-0_10.zip,True,0,0,0.09215927124023438
0,10,depots_p002950_hyp=hyp-1_10.zip,True,1,1,0.0828697681427002
0,10,depots_p000515_hyp=hyp-3_10.zip,False,3,6,0.08330798149108887
0,10,depots_p005102_hyp=hyp-6_10.zip,False,6,4,0.08221745491027832
0,10,depots_p000981_hyp=hyp-7_10.zip,True,7,7,0.08043551445007324
0,10,depots_p000169_hyp=hyp-5_10.zip,False,5,7,0.08543181419372559
0,10,depots_p000001_hyp=hyp-1_10.zip,True,1,1,0.08229660987854004
0,10,depots_p03_hyp-3_10_2.tar.bz2,False,2,5,0.07979941368103027
0,10,depots_p001696_hyp=hyp-4_10.zip,False,4,3,0.08098888397216797
0,10,depots_p004481_hyp=hyp-4_10.zip,False,4,0,0.09496474266052246
0,10,depots_p006865_hyp=hyp-1_10.zip,False,1,7,0.0856773853302002
0,10,depots_p000205_hyp=hyp-1_10.zip,True,1,1,0.08282685279846191
0,10,depots_p06_hyp-1_10_3.tar.bz2,False,0,1,0.08390426635742188
0,10,depots_p005023_hyp=hyp-1_10.zip,True,1,1,0.08291149139404297
0,10,depots_p000406_hyp=hyp-0_10.zip,False,0,5,0.08122873306274414
0,10,depots_p004471_hyp=hyp-2_10.zip,False,2,3,0.0854032039642334
0,10,depots_p006909_hyp=hyp-1_10.zip,False,1,4,0.08616352081298828
0,10,depots_p004754_hyp=hyp-0_10.zip,False,0,5,0.08461785316467285
0,10,depots_p004287_hyp=hyp-7_10.zip,False,7,2,0.08872771263122559
0,10,depots_p06_hyp-4_10_1.tar.bz2,False,6,0,0.09585905075073242
0,10,depots_p005101_hyp=hyp-2_10.zip,False,2,6,0.08506464958190918
0,10,depots_p004185_hyp=hyp-5_10.zip,False,5,3,0.08425068855285645
0,10,depots_p005481_hyp=hyp-1_10.zip,True,1,1,0.08037447929382324
0,10,depots_p004575_hyp=hyp-7_10.zip,False,7,6,0.0842282772064209
0,10,depots_p002830_hyp=hyp-3_10.zip,False,3,6,0.08097124099731445
0,10,depots_p005538_hyp=hyp-0_10.zip,False,0,5,0.08057761192321777
0,10,depots_p004549_hyp=hyp-5_10.zip,False,5,3,0.08364248275756836
0,10,depots_p04_hyp-4_10_1.tar.bz2,True,3,3,0.08066987991333008
0,10,depots_p002475_hyp=hyp-1_10.zip,False,1,2,0.09255051612854004
0,10,depots_p004674_hyp=hyp-2_10.zip,False,2,7,0.08630061149597168
0,10,depots_p000554_hyp=hyp-4_10.zip,False,4,1,0.08062028884887695
0,10,depots_p006455_hyp=hyp-0_10.zip,True,0,0,0.0813753604888916
0,10,depots_p004344_hyp=hyp-0_10.zip,False,0,2,0.09212160110473633
0,10,depots_p002503_hyp=hyp-0_10.zip,True,0,0,0.0921022891998291
0,10,depots_p000766_hyp=hyp-2_10.zip,False,2,7,0.08114075660705566
0,10,depots_p005921_hyp=hyp-2_10.zip,True,2,2,0.08067989349365234
0,10,depots_p001081_hyp=hyp-3_10.zip,True,3,3,0.08433032035827637
0,10,depots_p001839_hyp=hyp-7_10.zip,True,7,7,0.08376502990722656
0,10,depots_p004929_hyp=hyp-7_10.zip,False,7,4,0.09752440452575684
0,10,depots_p006050_hyp=hyp-8_10.zip,False,8,6,0.08595156669616699
0,10,depots_p004026_hyp=hyp-4_10.zip,True,4,4,0.08784914016723633
0,10,depots_p000040_hyp=hyp-2_10.zip,True,2,2,0.08399486541748047
0,10,depots_p02_hyp-3_10_1.tar.bz2,True,2,2,0.08390069007873535
0,10,depots_p004981_hyp=hyp-6_10.zip,False,6,3,0.08506965637207031
0,10,depots_p002353_hyp=hyp-3_10.zip,False,3,0,0.08144974708557129
0,10,depots_p006422_hyp=hyp-1_10.zip,True,1,1,0.0852820873260498
0,10,depots_p006561_hyp=hyp-1_10.zip,False,1,7,0.08215475082397461
0,10,depots_p07_hyp-4_10_1.tar.bz2,False,6,4,0.09679937362670898
0,10,depots_p001509_hyp=hyp-4_10.zip,False,4,3,0.08426785469055176
0,10,depots_p002482_hyp=hyp-0_10.zip,False,0,6,0.08619403839111328
0,10,depots_p006471_hyp=hyp-4_10.zip,True,4,4,0.07943439483642578
0,10,depots_p000381_hyp=hyp-6_10.zip,False,6,3,0.07993650436401367
0,10,depots_p005091_hyp=hyp-7_10.zip,False,7,5,0.08620238304138184
0,10,depots_p004001_hyp=hyp-4_10.zip,False,4,5,0.08809256553649902
0,10,depots_p006086_hyp=hyp-5_10.zip,True,5,5,0.08320474624633789
0,10,depots_p001209_hyp=hyp-4_10.zip,False,4,6,0.07898378372192383
0,10,depots_p000706_hyp=hyp-6_10.zip,False,6,4,0.07902741432189941
0,10,depots_p002245_hyp=hyp-7_10.zip,False,7,0,0.09174227714538574
0,10,depots_p005154_hyp=hyp-6_10.zip,False,6,4,0.0926203727722168
0,10,depots_p002130_hyp=hyp-1_10.zip,False,1,3,0.09195971488952637
0,10,depots_p005035_hyp=hyp-4_10.zip,False,4,2,0.08412671089172363
0,10,depots_p000895_hyp=hyp-3_10.zip,False,3,6,0.08083438873291016
0,10,depots_p004256_hyp=hyp-0_10.zip,False,0,3,0.09387588500976562
0,10,depots_p001086_hyp=hyp-3_10.zip,False,3,1,0.10167765617370605
0,10,depots_p005526_hyp=hyp-6_10.zip,False,6,1,0.08719968795776367
0,10,depots_p005464_hyp=hyp-3_10.zip,True,3,3,0.0871732234954834
0,10,depots_p006199_hyp=hyp-0_10.zip,False,0,1,0.08441042900085449
0,10,depots_p000230_hyp=hyp-2_10.zip,False,2,3,0.09194660186767578
0,10,depots_p03_hyp-1_10_1.tar.bz2,False,0,7,0.08261418342590332
0,10,depots_p005644_hyp=hyp-6_10.zip,False,6,4,0.09131717681884766
